problem_id,ascents,ratings,ratings_average,popularity,featured
361,14,8,3.1,134,false
362,9,5,2.8,70,false
363,8,3,3.0,72,false
364,10,3,2.0,40,false
365,10,5,2.4,57,false
366,10,4,2.3,52,false
367,10,6,2.8,78,false
368,8,3,3.0,72,false
369,5,5,3.0,45,false
370,11,3,2.0,44,false
371,6,3,3.3,65,false
372,12,2,2.5,75,false
373,15,7,3.3,163,false
374,9,6,3.2,92,false
375,8,3,2.7,58,false
376,13,6,3.7,177,false
377,10,4,2.8,78,false
378,8,5,3.2,81,false
379,6,3,3.0,54,false
380,7,3,2.7,51,false
381,10,3,2.3,52,false
382,12,2,2.5,75,false
383,11,2,2.0,44,false
384,,1,,0,false
385,,1,,0,false
387,21,9,2.7,153,false
388,21,7,2.4,120,false
389,16,9,2.7,116,false
390,17,3,2.3,89,false
391,14,8,3.4,161,false
392,15,6,1.8,48,false
393,25,12,2.8,196,false
394,15,5,2.4,86,false
395,24,9,3.0,216,false
396,22,5,3.0,198,false
397,11,5,2.4,63,false
398,33,15,2.7,240,false
399,28,14,2.4,161,false
400,,1,,0,false
401,5,1,2.0,20,false
402,9,1,2.0,36,false
403,23,14,2.9,193,false
404,5,1,1.0,5,false
405,,2,,0,false
406,7,1,3.0,63,false
407,4,1,2.0,16,false
408,,1,,0,false
409,9,2,3.0,81,false
410,6,1,3.0,54,false
411,18,6,3.0,162,false
412,17,6,2.7,123,false
413,32,21,3.5,392,false
414,18,9,2.4,103,false
415,10,5,3.0,90,false
416,8,4,1.8,25,false
417,6,5,2.8,47,false
418,15,6,3.0,135,false
419,13,5,2.8,101,false
420,25,14,2.7,182,false
421,18,3,3.0,162,false
422,14,5,3.2,143,false
423,,1,,0,false
424,6,3,2.7,43,false
425,6,3,2.3,31,false
426,6,2,2.5,37,false
427,6,2,2.5,37,false
428,6,1,2.0,24,false
429,5,1,2.0,20,false
430,6,1,2.0,24,false
431,,2,,0,false
432,,2,,0,false
433,,1,,0,false
434,7,1,2.0,28,false
435,7,1,2.0,28,false
436,83,71,4.6,1756,false
437,75,62,3.5,918,false
438,48,31,3.1,461,false
439,57,40,3.3,620,false
440,39,26,3.3,424,false
441,44,26,3.0,396,false
442,46,23,3.0,414,false
443,41,25,3.6,531,false
444,42,25,2.5,262,false
445,23,14,3.5,281,false
446,56,39,3.2,573,false
447,30,16,3.8,433,false
448,34,24,3.3,370,false
449,75,44,3.7,1026,false
450,64,43,3.7,876,false
451,18,7,2.6,121,false
452,18,9,3.3,196,false
453,19,12,3.0,171,false
454,16,3,3.0,144,false
455,21,7,3.0,189,false
456,30,21,4.5,607,false
457,18,8,2.8,141,false
458,20,8,3.5,245,false
459,30,12,3.2,307,false
460,14,4,3.3,152,false
461,14,3,3.0,126,false
462,28,15,3.3,304,false
463,44,31,3.1,422,false
464,11,2,4.0,176,false
465,17,9,3.1,163,false
466,19,10,4.0,304,false
467,16,7,2.3,84,false
468,34,20,3.2,348,false
469,21,15,4.1,353,false
470,18,11,3.8,259,false
471,17,9,3.6,220,false
472,17,9,2.9,142,false
473,28,17,3.4,323,false
474,19,10,3.4,219,false
475,68,48,3.6,881,false
476,49,31,3.4,566,false
477,34,20,3.3,370,false
478,52,26,3.6,673,false
479,44,28,3.4,508,false
480,14,8,3.9,212,false
481,11,6,3.8,158,false
482,19,11,3.2,194,false
483,18,11,3.8,259,false
484,37,37,4.7,817,false
485,85,65,3.2,870,false
486,73,55,2.7,532,false
487,68,51,3.4,786,false
488,269,252,3.8,3884,true
489,39,33,3.5,477,false
490,50,44,3.5,612,false
491,45,26,3.8,649,false
492,46,39,3.6,596,false
493,25,16,3.6,324,false
494,16,7,2.7,116,false
495,36,22,3.5,441,false
496,52,34,3.3,566,false
497,43,28,3.4,497,false
498,149,143,3.4,1722,false
499,120,88,3.1,1153,false
500,139,102,3.2,1423,false
501,85,54,3.1,816,false
502,53,37,3.1,509,false
503,55,35,2.9,462,false
504,62,47,3.1,595,false
505,242,207,3.7,3312,true
506,846,779,4.2,14923,true
507,40,21,2.7,291,false
508,42,29,3.7,574,false
509,93,61,3.3,1012,false
510,25,13,2.7,182,false
511,47,35,4.0,752,false
512,17,12,3.3,185,false
513,26,18,2.9,218,false
514,75,74,3.8,1083,false
515,75,74,3.8,1083,false
516,38,37,3.2,389,false
517,35,25,2.7,255,false
518,23,13,2.3,121,false
519,12,9,3.0,108,false
520,57,59,3.1,547,false
521,27,20,2.8,211,false
522,49,36,3.0,441,false
523,25,17,3.4,289,false
524,35,32,3.2,358,false
525,30,19,3.0,270,false
526,38,25,3.2,389,false
527,,,,0,false
528,35,12,3.1,336,false
529,116,95,2.6,784,false
530,7,5,2.4,40,false
532,3,3,4.0,48,false
533,2,2,3.0,18,false
534,5,4,1.5,11,false
535,,5,3.4,0,false
536,,1,3.0,0,false
